	0	1	2	3	4	5	6	7	8	9
A1BG	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.134468737570693	0.0	0.0
A1CF	0.38469292599439703	0.11953319102755301	0.288486518733701	0.302879568217328	0.10521038589624099	0.036812859016519	0.209453324778588	0.12316041454925	0.163143147519314	0.0685352377826521
A2M	105.097250954892	66.7511567908979	4.3203304311679	14.4115572846129	7.02149364902197	1.34559806984582	0.176315667843124	0.21748797997055802	0.20580781957086605	0.5403626178557029
A2ML1	7.010502776814739	5.425529477631941	1.4009494836597198	1.42793810819484	1.5652370100258501	1.33079295509866	1.3674783497059	1.96077105106392	0.608181431707179	0.176441865886649
A4GALT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A4GNT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AAAS	31.3728063219694	18.4727428712979	10.901480916961	3.63855016380196	19.2785831970703	29.388160613432397	8.11853389668119	9.86237041599633	3.6863033391674	3.9397452132902795
AACS	1.78231734058737	4.48918657680243	1.34175533260031	0.265353411438359	0.6210382654273879	0.778048634862053	5.06183765076124	4.52924519069738	4.56483262891922	4.73360866485029
AADAC	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AADACL2	0.0	0.114479194618905	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AADACL3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AADACL4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AADAT	0.0	0.373697229360428	0.0	0.221303356460596	0.0278546236295133	0.0887392182241873	0.0	0.0	0.0	0.0
AAGAB	13.771077498415599	14.9056661738707	7.3710194887255005	9.00756504810467	4.86298203589975	7.940710880821639	8.23919016799783	13.421387557149998	10.3403820064985	9.40011732320702
AAK1	308.191197103504	305.376497886494	173.401913463941	219.18044816281397	165.089174006176	238.229182413163	91.38175630544791	96.15926938488029	71.0028933662777	26.877274127930303
AAMP	15.058251988868001	6.82909427456114	2.69866559518277	2.0113192612292	2.7831269316126503	5.62301916907717	52.335936480981395	31.8175342535455	86.5060328154112	155.09863689426902
AANAT	0.965720234232444	1.03006313973122	0.10037515375816601	0.158320977840741	0.061610361498441	0.291100178504471	0.581590889040229	0.29968103289262604	0.16052118655993	0.0
AARS	63.898348521430705	98.6619125561652	9.69324993475483	6.92894982412506	5.9878572076851	14.6553596394445	9.057244990467039	7.40266703023264	18.8395069939836	54.65451939019879
AARS2	8.10275569790481	9.05616970117423	1.8869433767536297	1.25401185013933	2.7399680695125097	4.30116416498209	6.93137851938099	6.16060635143383	6.24948248433341	5.1114395162410196
AARSD1	12.8793770070994	15.9363855096733	6.685464835648509	6.13098304927207	9.37141967061758	10.1951678959337	28.7036833622657	30.179928962192395	17.2856580963604	32.9572644993038
AASDH	21.826831679124304	20.9880942386844	9.76029887587508	13.8541357495554	4.35253224314171	7.91293005650348	7.435246905157809	9.68116029963109	9.971377787395221	5.73945460031707
AASDHPPT	10.6064727737923	23.480962527342502	21.4884657639653	33.8208400862829	18.7960903594025	13.353842394036601	18.5101840751638	24.969307854449	25.326067440510897	26.4518333707876
AASS	0.251527301135183	1.76422302435347	0.333642120730062	1.20794531753649	1.0239808995023598	1.32624296308192	0.059699665325455	0.0	0.190628193107985	0.0
AATF	65.3014231894277	49.33070537958471	85.6802317200129	73.6856914135664	84.66034566890471	93.27700810839941	36.5806338362841	36.6393971389239	36.2949549299159	64.0778254457374
AATK	0.0	0.803940546848979	0.0	0.0	0.0	0.0	0.18305040465985897	0.095658777762997	0.6252360895776801	0.594962898063084
ABAT	15.8192075718289	16.698664039284	1.7445800273277199	2.8103420107352104	1.71853863443274	2.5326938617921098	3.9790513455469196	4.370002405264319	3.08555056328368	7.05828300606709
ABCA1	15.2335340026719	12.3473352504674	3.2215283811673903	3.79265592227434	1.32869215330759	1.7915286487176498	6.15090435962122	8.44258358040486	12.9363377657099	3.65800813375088
ABCA10	6.13086799880664	2.09116821361597	2.4088762386745604	2.41508635848794	1.65764914122482	0.81764480318232	0.20013591170227396	2.55450804651725	1.60025242153983	0.62166578831858
ABCA12	0.562343222009605	0.0	0.0	0.0	0.0230609631991913	0.0	0.0129492119896165	0.0270082503938783	0.0196443873482889	0.0
ABCA13	9.76570928462617	6.124378293659741	0.299253812080314	0.63334755915027	0.388245562271761	0.466414689973031	0.17083357200911303	0.260954855679861	0.20801777811332997	0.0684253385772889
ABCA2	11.4679274173832	5.13704767142445	1.21536826740571	0.0561894238656325	2.16435587655007	5.698563149109219	7.241354133181799	8.15411777876153	3.6000490916793706	1.3805289596181798
ABCA3	1.6249154205269298	1.4335568173684998	1.2199211189764199	0.43314344418138706	2.7003157654691	3.0333210419955297	0.285433023196468	0.058838654584922996	0.28815645231073606	0.0
ABCA4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCA5	60.835518758555004	31.7849642650413	9.36298763955575	14.9650644807511	5.02617342748476	4.38279745081484	11.1410361968736	14.4074016439554	13.1642283542803	7.02215887559945
ABCA6	2.1741500694108797	0.36199377942838495	0.10017925604931699	0.36158597276276094	0.0	0.37447139925457595	0.0	0.0	0.034262064936389995	0.0
ABCA7	11.418106100457	47.137752148683795	1.15275180697483	0.762619108248615	3.52436827895957	3.75905914256292	36.8623963634202	15.5383247105776	9.6222968280245	9.134021255573769
ABCA8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
